run_name,variant,target_task,arch,window_s,n_fold_seeds,val_total_mean,val_total_std,exercise_trained,exercise_f1_macro_mean,exercise_f1_macro_std,exercise_balanced_accuracy_mean,exercise_balanced_accuracy_std,phase_trained,phase_f1_macro_mean,phase_f1_macro_std,phase_balanced_accuracy_mean,phase_balanced_accuracy_std,fatigue_trained,fatigue_mae_mean,fatigue_mae_std,fatigue_pearson_r_mean,fatigue_pearson_r_std,reps_trained,reps_mae_mean,reps_mae_std
v20_mt-w1s-cnn1d_raw,mt,multi,cnn1d_raw,1.0,30,-0.3597795075282656,0.32895963778687903,1,0.18458988127373066,0.0785400354256011,0.2873607520209774,0.08478694880864396,1,0.27320122933518676,0.05500914191050295,0.3419701815165238,0.01682072721821309,1,1.134559985884394,0.3385781599913065,0.2249991338267028,0.27731308225693213,1,0.10898020727899912,0.019964433951608258
v20_mt-w1s-cnn_lstm_raw,mt,multi,cnn_lstm_raw,1.0,30,-0.1738945086615496,0.3339133608068652,1,0.3490783384613764,0.1457181148469741,0.3883830947629111,0.14259998100439863,1,0.3285866875837375,0.035186172453179655,0.34915821251644275,0.025146245024005663,1,1.1543788690720744,0.2827514870443226,0.18361125659895344,0.3424205105230995,1,0.11423164884097252,0.021974724391227253
v20_mt-w1s-lstm_raw,mt,multi,lstm_raw,1.0,30,-0.3725290744051389,0.28076698084668883,1,0.28672312838505115,0.11578551600049629,0.3372128247976832,0.138793376007115,1,0.29989273864010424,0.0398092430794809,0.3331150768356456,0.017348628250882115,1,1.0051017075986615,0.18272090082949546,0.2513555142527311,0.31047395968643715,1,0.10804523783389965,0.019254506036514463
v20_mt-w1s-tcn_raw,mt,multi,tcn_raw,1.0,30,-0.3709710544896499,0.3236375943350326,1,0.2304145430720273,0.10049648893510353,0.30034676472136185,0.09272557107696949,1,0.32382234205322147,0.04868399980072546,0.35484701937127644,0.022470078813697298,1,1.0984319071295816,0.2825954447193414,0.23041714278048472,0.34546141412819675,1,0.11063047893649348,0.02000128221117418
v20_mt-w2s-cnn1d_raw,mt,multi,cnn1d_raw,2.0,30,0.23778003184003058,0.3188131110654323,1,0.17441302502197645,0.1032031982720644,0.2845756857036092,0.08848994328922517,1,0.24201698901986518,0.051819500174897504,0.33879968063950944,0.01665039089179606,1,1.3752223886651362,0.3793958649470107,0.2266975324346306,0.33304437759491173,1,0.21141548705261035,0.0420460318346546
v20_mt-w2s-cnn_lstm_raw,mt,multi,cnn_lstm_raw,2.0,30,0.3892006436464023,0.41282214658648286,1,0.45934958880800825,0.16371820647444107,0.4878674224553143,0.1523196462999415,1,0.32069362596664563,0.040595303367158664,0.34365434188012656,0.028373855532743852,1,1.113707887342883,0.2656551189842368,0.2561803917684075,0.32259178182881193,1,0.2144577051405989,0.03643154853910988
v20_mt-w2s-lstm_raw,mt,multi,lstm_raw,2.0,30,0.1737265034628705,0.31982789953713164,1,0.16987728414529152,0.09113898518528125,0.27951995893099085,0.08366482989683982,1,0.21138160625228872,0.01995672569524969,0.33288676325259653,0.00240485348270349,1,1.1490112275879611,0.206518767213166,0.22519078037551704,0.32167229581989176,1,0.21300156423377592,0.039906591580806956
v20_mt-w2s-tcn_raw,mt,multi,tcn_raw,2.0,30,0.1819900542471847,0.32464742682892933,1,0.24167541067260523,0.09822736903493273,0.3120212804653314,0.1124277950131682,1,0.29312051146452756,0.054043307217881295,0.3386242930753882,0.032983281507483,1,1.169533747498881,0.2985148396567989,0.23045127655671946,0.325396664020183,1,0.21282678039723021,0.03600760424281227
v20_mt-w5s-cnn1d_raw,mt,multi,cnn1d_raw,5.0,30,0.8766524394353231,0.3672215407779862,1,0.5235951279337796,0.209864259024081,0.5569645788882264,0.2048842413475211,1,0.30507866385327204,0.06775910924033168,0.34452474537051747,0.0510960211467296,1,1.2682039273780128,0.31604614943258347,0.08093624750908998,0.35119574664957764,1,0.4773339639889405,0.06705643499222771
v20_mt-w5s-cnn_lstm_raw,mt,multi,cnn_lstm_raw,5.0,30,0.7952908287445705,0.25310093603128503,1,0.47311561992581325,0.2028756509360641,0.5204212770454835,0.18085349636939493,1,0.3138772013266965,0.05938782484634765,0.3548499990092157,0.04582892822034625,1,1.055505885033744,0.25287503941678047,0.19287199593916943,0.32453678681890025,1,0.46938067386197785,0.07583223887220654
v20_mt-w5s-lstm_raw,mt,multi,lstm_raw,5.0,30,0.8199769576390584,0.14003064406878676,1,0.2584393043582181,0.11739354805377708,0.32543160517423997,0.10742860408451527,1,0.20452086928388324,0.032701231032491236,0.3305175904263645,0.014426775122505479,1,0.980941705188841,0.18263919146607363,0.21519379425287427,0.370710736237627,1,0.5152976126867528,0.11193691057203188
v20_mt-w5s-tcn_raw,mt,multi,tcn_raw,5.0,30,0.9148937543233235,0.13518495784931386,1,0.26259752779940226,0.11741305932710022,0.32375550337721865,0.1072567942048668,1,0.2462048934192838,0.06537409392406711,0.3348236832867488,0.03932084361093293,1,1.0398868540696757,0.25710417307278494,0.22058946187709252,0.32579494148805277,1,0.5213626367532797,0.11238018614801296
v20_st-exercise-w1s-cnn1d_raw,st,exercise,cnn1d_raw,1.0,30,0.6161531645203202,0.08770440186704241,1,0.3266682704406618,0.16935992713348974,0.39439376712239915,0.15505539721997594,0,,,,,0,,,,,0,,
v20_st-exercise-w1s-cnn_lstm_raw,st,exercise,cnn_lstm_raw,1.0,30,0.5861852679481113,0.08571329465000378,1,0.31131608407183176,0.15957709321250502,0.3786440039447846,0.16832097200778345,0,,,,,0,,,,,0,,
v20_st-exercise-w1s-lstm_raw,st,exercise,lstm_raw,1.0,30,0.5957268335216518,0.050055008941132115,1,0.3135402077275565,0.1296552488183174,0.40416382021701425,0.12149279719533257,0,,,,,0,,,,,0,,
v20_st-exercise-w1s-tcn_raw,st,exercise,tcn_raw,1.0,30,0.5938967071030168,0.09329599408345783,1,0.3015630602623013,0.15316193772459832,0.38672215006593036,0.1259069020293584,0,,,,,0,,,,,0,,
v20_st-exercise-w2s-cnn1d_raw,st,exercise,cnn1d_raw,2.0,30,0.5789711938847062,0.1390253732116931,1,0.3560526985209379,0.21457021129613646,0.4222224711792026,0.19513171010417663,0,,,,,0,,,,,0,,
v20_st-exercise-w2s-cnn_lstm_raw,st,exercise,cnn_lstm_raw,2.0,30,0.5483773573457397,0.16095892814710525,1,0.4115991223600417,0.2338436158561793,0.4549288028088384,0.22160164835895402,0,,,,,0,,,,,0,,
v20_st-exercise-w2s-lstm_raw,st,exercise,lstm_raw,2.0,30,0.5809590370366811,0.0737726802795925,1,0.35428684179563413,0.1539138542963986,0.43505645186084496,0.13702135202548005,0,,,,,0,,,,,0,,
v20_st-exercise-w2s-tcn_raw,st,exercise,tcn_raw,2.0,30,0.573603371475746,0.10320293062135877,1,0.37149353930765777,0.17063364879754306,0.43818047524783066,0.14450020654405613,0,,,,,0,,,,,0,,
v20_st-exercise-w5s-cnn1d_raw,st,exercise,cnn1d_raw,5.0,30,0.47775596628586453,0.229508483544516,1,0.48570501152795365,0.2416828779096936,0.5303939441371506,0.22786519362998092,0,,,,,0,,,,,0,,
v20_st-exercise-w5s-cnn_lstm_raw,st,exercise,cnn_lstm_raw,5.0,30,0.4598516345024109,0.2269409020778056,1,0.5095230680807549,0.2663188471667037,0.5648004556953995,0.24141828018577352,0,,,,,0,,,,,0,,
v20_st-exercise-w5s-lstm_raw,st,exercise,lstm_raw,5.0,30,0.5803728024164836,0.061582766071731285,1,0.3278820548204241,0.15078303128941759,0.41231630512557943,0.14262100044313933,0,,,,,0,,,,,0,,
v20_st-exercise-w5s-tcn_raw,st,exercise,tcn_raw,5.0,30,0.5778331478436788,0.0910656441017574,1,0.34646328556623546,0.18102674361029575,0.4172258662269136,0.14836907415916864,0,,,,,0,,,,,0,,
v20_st-fatigue-w1s-cnn1d_raw,st,fatigue,cnn1d_raw,1.0,30,0.49517227891513493,0.13595850363545797,0,,,,,0,,,,,1,0.9896111925195288,0.2822846109362773,0.2597193577540502,0.3316765872566996,0,,
v20_st-fatigue-w1s-cnn_lstm_raw,st,fatigue,cnn_lstm_raw,1.0,30,0.46865842028187676,0.08515447309203449,0,,,,,0,,,,,1,0.9054600585199574,0.20747142430793908,0.3268801592889247,0.30672748635587804,0,,
v20_st-fatigue-w1s-lstm_raw,st,fatigue,lstm_raw,1.0,30,0.4707762286011639,0.06512145226698962,0,,,,,0,,,,,1,0.9021261484525503,0.15899749588357626,0.16336245196191593,0.3381249901034998,0,,
v20_st-fatigue-w1s-tcn_raw,st,fatigue,tcn_raw,1.0,30,0.47237399544093595,0.10266235648167074,0,,,,,0,,,,,1,0.9186882745917643,0.2335978171647784,0.3342119929058321,0.2841807781541446,0,,
v20_st-fatigue-w2s-cnn1d_raw,st,fatigue,cnn1d_raw,2.0,30,0.488780534581438,0.11710244375992183,0,,,,,0,,,,,1,0.969450414456173,0.2585328031405868,0.31427047297749383,0.33579111326905614,0,,
v20_st-fatigue-w2s-cnn_lstm_raw,st,fatigue,cnn_lstm_raw,2.0,30,0.4584978942886402,0.08389134073677457,0,,,,,0,,,,,1,0.9084410987041941,0.1806239458066773,0.23725904411294277,0.34131133009273407,0,,
v20_st-fatigue-w2s-lstm_raw,st,fatigue,lstm_raw,2.0,30,0.46454955392211694,0.09026531774913567,0,,,,,0,,,,,1,0.9221842990853047,0.19159110247990244,0.12979415381266188,0.28345436541221664,0,,
v20_st-fatigue-w2s-tcn_raw,st,fatigue,tcn_raw,2.0,30,0.47815789712215256,0.10300852569164802,0,,,,,0,,,,,1,0.9139052862229721,0.2613547784736042,0.3023222933619687,0.3430157877211149,0,,
v20_st-fatigue-w5s-cnn1d_raw,st,fatigue,cnn1d_raw,5.0,30,0.5035303970177968,0.1358707772948471,0,,,,,0,,,,,1,1.0058302039258586,0.28373326973982,0.23919328451569158,0.3609354710302892,0,,
v20_st-fatigue-w5s-cnn_lstm_raw,st,fatigue,cnn_lstm_raw,5.0,30,0.4527592102686564,0.07762281251137483,0,,,,,0,,,,,1,0.8988779731917951,0.16401507341953198,0.21774985275971293,0.3252478362913898,0,,
v20_st-fatigue-w5s-lstm_raw,st,fatigue,lstm_raw,5.0,30,0.45205774704615276,0.07385521104057324,0,,,,,0,,,,,1,0.8921772773005393,0.16069460097847998,0.11146356539131988,0.3248057308721116,0,,
v20_st-fatigue-w5s-tcn_raw,st,fatigue,tcn_raw,5.0,30,0.4751740028460821,0.09398739732175064,0,,,,,0,,,,,1,0.9229251688372819,0.22668947802255887,0.2987466298497819,0.35145604379496814,0,,
v20_st-phase-w1s-cnn1d_raw,st,phase,cnn1d_raw,1.0,30,0.1545570895012813,0.09669465150748263,0,,,,,1,0.3613654471236102,0.03819867911298352,0.3727798495332369,0.033790992289702344,0,,,,,0,,
v20_st-phase-w1s-cnn_lstm_raw,st,phase,cnn_lstm_raw,1.0,30,0.144731348360775,0.09540473589626,0,,,,,1,0.37880223182503076,0.0319630433409297,0.3897984881779036,0.027290792754966237,0,,,,,0,,
v20_st-phase-w1s-lstm_raw,st,phase,lstm_raw,1.0,30,0.16811198612501077,0.11881419933331218,0,,,,,1,0.33312291031819463,0.047978255690674904,0.3594336881417867,0.029143792888929827,0,,,,,0,,
v20_st-phase-w1s-tcn_raw,st,phase,tcn_raw,1.0,30,0.15319412509778846,0.10386480345648096,0,,,,,1,0.36455843590411213,0.03903207042910103,0.3756857645505611,0.034608054312353746,0,,,,,0,,
v20_st-phase-w2s-cnn1d_raw,st,phase,cnn1d_raw,2.0,30,-0.02346962032614713,0.13882848877321174,0,,,,,1,0.3398098156892825,0.04530145003285128,0.36061806854905815,0.033497392133326344,0,,,,,0,,
v20_st-phase-w2s-cnn_lstm_raw,st,phase,cnn_lstm_raw,2.0,30,-0.02815229599763242,0.1429853346470872,0,,,,,1,0.3458991305699521,0.03740292937717325,0.3674673311738633,0.03273198517170995,0,,,,,0,,
v20_st-phase-w2s-lstm_raw,st,phase,lstm_raw,2.0,30,-0.03167379976052406,0.09066059211812091,0,,,,,1,0.27096697385921814,0.058528033635707716,0.3458252315344848,0.022929672088983912,0,,,,,0,,
v20_st-phase-w2s-tcn_raw,st,phase,tcn_raw,2.0,30,-0.017969384288360014,0.1521558596676828,0,,,,,1,0.35144098157731507,0.031146549633489434,0.3720271922919706,0.023883634781322965,0,,,,,0,,
v20_st-phase-w5s-cnn1d_raw,st,phase,cnn1d_raw,5.0,30,-0.11233594715595245,0.11540069223859964,0,,,,,1,0.43672233960931,0.0902446775357631,0.45727410551030656,0.07606780671952369,0,,,,,0,,
v20_st-phase-w5s-cnn_lstm_raw,st,phase,cnn_lstm_raw,5.0,30,-0.0925430566072464,0.101187742753012,0,,,,,1,0.4110156475769536,0.09480290430687474,0.4368269089099566,0.0682141391364766,0,,,,,0,,
v20_st-phase-w5s-lstm_raw,st,phase,lstm_raw,5.0,30,-0.0654308299223582,0.05607175965274534,0,,,,,1,0.2553996654789936,0.055105671156127654,0.34104085544510815,0.026865142234354513,0,,,,,0,,
v20_st-phase-w5s-tcn_raw,st,phase,tcn_raw,5.0,30,-0.06252582172552744,0.06153586128645641,0,,,,,1,0.22509082547160109,0.057196991355945595,0.33834258641284704,0.017830584418717824,0,,,,,0,,
v20_st-reps-w1s-cnn1d_raw,st,reps,cnn1d_raw,1.0,30,-1.8021243051011382,0.17163841937875327,0,,,,,0,,,,,0,,,,,1,0.10393731372009372,0.016509087317848236
v20_st-reps-w1s-cnn_lstm_raw,st,reps,cnn_lstm_raw,1.0,30,-1.794098631420989,0.16020807021354264,0,,,,,0,,,,,0,,,,,1,0.10657560786056183,0.01652977881819168
v20_st-reps-w1s-lstm_raw,st,reps,lstm_raw,1.0,30,-1.7572066702852422,0.15131013192179543,0,,,,,0,,,,,0,,,,,1,0.11125223607435517,0.022556911236080064
v20_st-reps-w1s-tcn_raw,st,reps,tcn_raw,1.0,30,-1.8013348914258427,0.16607685251791543,0,,,,,0,,,,,0,,,,,1,0.10427671398166617,0.01656818910425463
v20_st-reps-w2s-cnn1d_raw,st,reps,cnn1d_raw,2.0,30,-1.2571801830035934,0.15011038335642463,0,,,,,0,,,,,0,,,,,1,0.18514009403306492,0.030484048673215473
v20_st-reps-w2s-cnn_lstm_raw,st,reps,cnn_lstm_raw,2.0,30,-1.2200801536795125,0.14220655685654127,0,,,,,0,,,,,0,,,,,1,0.19591612797843436,0.03242599563673632
v20_st-reps-w2s-lstm_raw,st,reps,lstm_raw,2.0,30,-1.1403950287534534,0.13005062754261862,0,,,,,0,,,,,0,,,,,1,0.21359522382011864,0.04072228253719259
v20_st-reps-w2s-tcn_raw,st,reps,tcn_raw,2.0,30,-1.2078790150377914,0.13078646745764416,0,,,,,0,,,,,0,,,,,1,0.19497593341638478,0.028170866506524252
v20_st-reps-w5s-cnn1d_raw,st,reps,cnn1d_raw,5.0,30,-0.5058160245418548,0.169322519353563,0,,,,,0,,,,,0,,,,,1,0.39027149127504823,0.07979675215600263
v20_st-reps-w5s-cnn_lstm_raw,st,reps,cnn_lstm_raw,5.0,30,-0.510928147037824,0.15365687884449217,0,,,,,0,,,,,0,,,,,1,0.3884465619172488,0.08167224579769897
v20_st-reps-w5s-lstm_raw,st,reps,lstm_raw,5.0,30,-0.3029137194156647,0.14835460667219977,0,,,,,0,,,,,0,,,,,1,0.5158536801596452,0.11977230182294757
v20_st-reps-w5s-tcn_raw,st,reps,tcn_raw,5.0,30,-0.30894691149393716,0.14741476470093964,0,,,,,0,,,,,0,,,,,1,0.5188951215154728,0.1112631697846766
